start,meterId,duration
2019-05-30T22:00:00.000Z,ZIV0046090699,651
2019-05-31T00:00:00.000Z,CIR0141431141,651
2019-05-31T00:00:00.000Z,ZIV0046092181,651
2019-05-31T00:00:00.000Z,CIR0141602128,651
2019-05-29T22:00:00.000Z,CIR0141606204,652
2019-05-31T00:00:00.000Z,CIR0141604464,649
2019-05-30T22:00:00.000Z,CIR0141600748,651
2019-05-31T00:00:00.000Z,CIR0141455976,651
2019-06-01T22:00:00.000Z,CIR0141456385,649
2019-05-31T00:00:00.000Z,CIR0141601242,651
2020-11-16T23:00:00.000Z,CIR0141691351,115
2019-09-04T00:00:00.000Z,CIR0141690733,555
2019-05-31T00:00:00.000Z,ZIV0046091383,651
2019-05-30T22:00:00.000Z,ZIV0046092970,651
2019-05-29T22:00:00.000Z,CIR0141600620,652
2019-05-29T22:00:00.000Z,ZIV0046090689,652
2019-05-31T00:00:00.000Z,CIR0141691239,651
2019-05-31T00:00:00.000Z,ZIV0046095936,651
2019-06-17T22:00:00.000Z,CIR0141431029,633
2019-05-31T00:00:00.000Z,CIR0141685314,651
2019-05-31T00:00:00.000Z,CIR0141602040,651
2019-05-31T00:00:00.000Z,CIR0141692153,648
2019-06-09T22:00:00.000Z,CIR0141448615,641
2019-05-30T22:00:00.000Z,CIR0141600758,651
2019-05-30T22:00:00.000Z,CIR0141455966,651
2019-06-01T22:00:00.000Z,CIR0141456395,649
2019-05-31T00:00:00.000Z,CIR0141604474,649
2019-07-03T00:00:00.000Z,CIR0501407623,77
2020-03-04T23:00:00.000Z,CIR0141691341,372
2019-05-30T22:00:00.000Z,CIR0141601252,651
2019-05-31T00:00:00.000Z,ZIV0046092191,651
2019-07-03T00:00:00.000Z,CIR0141449267,618
2019-05-31T00:00:00.000Z,CIR0141431151,651
2019-05-31T00:00:00.000Z,CIR0141606214,651
2019-05-31T00:00:00.000Z,CIR0141602138,651
2019-05-29T22:00:00.000Z,CIR0141461395,652
2019-05-29T22:00:00.000Z,CIR0141685551,652
2019-05-31T00:00:00.000Z,CIR0141602605,651
2019-05-29T22:00:00.000Z,ZIV0046090955,652
2019-05-31T00:00:00.000Z,CIR0141690176,651
2019-05-30T22:00:00.000Z,CIR0141600065,651
2019-05-31T00:00:00.000Z,CIR0501706462,651
2019-05-31T00:00:00.000Z,CIR0141685429,651
2019-05-31T00:00:00.000Z,CIR0141600884,651
2019-05-31T00:00:00.000Z,CIR0141690997,650
2019-05-31T00:00:00.000Z,ZIV0046094298,651
2019-05-31T00:00:00.000Z,CIR0141691504,650
2019-05-31T00:00:00.000Z,CIR0141601417,651
2019-05-31T00:00:00.000Z,CIR0141600075,651
2019-05-29T22:00:00.000Z,CIR0141690166,652
2019-05-30T22:00:00.000Z,CIR0141461385,651
2019-05-30T22:00:00.000Z,CIR0501407897,651
2019-05-29T22:00:00.000Z,ZIV0046090945,652
2019-05-29T22:00:00.000Z,CIR0141602615,652
2019-05-31T00:00:00.000Z,CIR0141601407,651
2019-05-30T22:00:00.000Z,CIR0141691514,651
2019-08-09T11:00:00.000Z,ZIV0046094288,359
2019-05-31T00:00:00.000Z,CIR0141690987,651
2019-05-30T22:00:00.000Z,CIR0141600894,651
2019-05-31T00:00:00.000Z,CIR0141440083,651
2019-08-01T22:00:00.000Z,CIR0501631437,588
2019-05-31T00:00:00.000Z,CIR0141690210,651
2019-05-31T00:00:00.000Z,CIR0141602563,651
2019-05-30T22:00:00.000Z,CIR0141448336,651
2019-05-31T00:00:00.000Z,CIR0141603069,651
2019-05-31T00:00:00.000Z,CIR0141691662,651
2019-05-31T00:00:00.000Z,CIR0141601771,651
2019-05-31T00:00:00.000Z,CIR0141690368,649
2019-05-29T22:00:00.000Z,ZIV0046094867,651
2019-07-30T22:00:00.000Z,CIR0501517477,590
2019-05-31T00:00:00.000Z,CIR0141603111,651
2019-05-29T22:00:00.000Z,CIR0141443291,652
2019-05-30T22:00:00.000Z,CIR0141448326,651
2019-05-29T22:00:00.000Z,CIR0141602573,652
2019-05-31T00:00:00.000Z,CIR0141603079,650
2020-09-17T12:00:00.000Z,ZIV0046094096,175
2019-05-30T22:00:00.000Z,CIR0141440093,651
2019-05-31T00:00:00.000Z,CIR0141690200,651
2019-09-04T00:00:00.000Z,CIR0501631427,555
2019-05-31T00:00:00.000Z,ZIV0046094877,651
2019-09-04T00:00:00.000Z,CIR0501517467,555
2019-05-30T22:00:00.000Z,CIR0141443281,650
2019-05-31T00:00:00.000Z,CIR0141603101,651
2019-05-31T00:00:00.000Z,CIR0141601761,651
2019-05-31T00:00:00.000Z,CIR0141691672,651
2019-05-31T00:00:00.000Z,CIR0141690378,650
2019-05-30T22:00:00.000Z,CIR0501412993,651
2019-07-31T00:00:00.000Z,CIR0141682024,590
2019-07-31T00:00:00.000Z,CIR0141690445,590
2019-06-11T03:00:00.000Z,CIR0141448563,639
2019-05-31T00:00:00.000Z,CIR0141602336,651
2019-05-28T22:00:00.000Z,CIR0141449069,653
2019-06-09T22:00:00.000Z,CIR0141601124,641
2019-05-31T00:00:00.000Z,ZIV0046090487,651
2019-05-31T00:00:00.000Z,CIR0141691037,650
2019-05-30T22:00:00.000Z,CIR0141442857,651
2020-04-19T22:00:00.000Z,CIR0141606162,326
