,R1
680.0,17
2613.0,16
2848.0,16
2170.0,16
2090.0,16
2538.0,16
911.0,16
2585.0,16
749.0,16
2558.0,16
1031.0,16
735.0,16
1131.0,16
2513.0,16
2332.0,16
2903.0,16
1009.0,16
966.0,16
2790.0,16
606.0,16
724.0,16
2474.0,16
1025.0,16
2230.0,16
747.0,16
610.0,16
2572.0,16
989.0,16
774.0,16
988.0,16
2381.0,16
2645.0,16
2586.0,16
2799.0,16
2575.0,16
2248.0,16
2544.0,16
780.0,16
682.0,16
945.0,16
757.0,16
2477.0,16
1007.0,16
669.0,16
1012.0,16
1017.0,16
2628.0,16
2937.0,16
2256.0,16
1036.0,16
2439.0,16
605.0,16
2144.0,16
2450.0,16
942.0,16
3166.0,16
2754.0,16
2615.0,16
3034.0,16
2729.0,16
2636.0,16
582.0,16
977.0,16
678.0,16
862.0,16
706.0,16
821.0,16
663.0,16
1008.0,16
2824.0,16
2770.0,16
2423.0,16
2502.0,16
2550.0,16
2435.0,16
2480.0,16
2198.0,16
3045.0,16
2517.0,16
2686.0,16
863.0,16
2434.0,15
1004.0,15
660.0,15
688.0,15
2738.0,15
2318.0,15
2528.0,15
2355.0,15
2046.0,15
2073.0,15
2654.0,15
2590.0,15
2911.0,15
2979.0,15
2507.0,15
2295.0,15
1215.0,15
2416.0,15
2901.0,15
2524.0,15
2557.0,15
1089.0,15
2176.0,15
2202.0,15
2684.0,15
816.0,15
2577.0,15
671.0,15
1038.0,15
2444.0,15
3095.0,15
794.0,15
742.0,15
2500.0,15
2372.0,15
2479.0,15
2475.0,15
1282.0,15
1140.0,15
1250.0,15
2925.0,15
2231.0,15
1063.0,15
1049.0,15
2683.0,15
2400.0,15
2667.0,15
2491.0,15
2101.0,15
2310.0,15
2220.0,15
2809.0,15
2599.0,15
2308.0,15
2545.0,15
2540.0,15
2698.0,15
2464.0,15
2819.0,15
640.0,15
2607.0,15
2565.0,15
2547.0,15
1203.0,15
1051.0,15
568.0,15
2468.0,15
2509.0,15
2792.0,15
546.0,15
2453.0,15
960.0,15
2897.0,15
2883.0,15
2691.0,15
2149.0,15
2512.0,15
1011.0,15
750.0,15
2970.0,15
839.0,15
983.0,15
905.0,15
2307.0,15
2285.0,15
2616.0,15
2559.0,15
649.0,15
2414.0,15
1048.0,15
996.0,15
1136.0,15
608.0,15
2844.0,15
2492.0,15
2358.0,14
2697.0,14
2581.0,14
2335.0,14
2744.0,14
2931.0,14
2569.0,14
3121.0,14
1713.0,14
2632.0,14
2772.0,14
2769.0,14
