status_code,t,status,l
1,2019-02-17T01:17:38.000Z,TF,2019-02-17T01:17:38.000Z
2,2019-02-17T01:17:38.000Z,Registered,2019-02-17T08:48:52.739Z
1,2019-02-17T01:17:38.000Z,TF,2019-02-17T11:48:34.760Z
2,2019-02-17T01:17:38.000Z,Registered,2019-02-17T13:48:39.505Z
1,2019-02-17T01:17:38.000Z,TF,2019-02-18T00:46:39.120Z
2,2019-02-17T23:26:52.000Z,Registered,2019-02-18T06:49:28.337Z
1,2019-02-18T04:46:06.000Z,TF,2019-02-18T09:48:17.683Z
2,2019-02-18T04:46:06.000Z,Registered,2019-02-18T04:46:06.000Z
1,2019-02-18T04:46:06.000Z,TF,2019-02-18T12:49:53.005Z
1,2019-02-18T04:46:06.000Z,TF,2019-02-19T00:45:33.649Z
2,2019-02-19T00:38:48.000Z,Registered,2019-02-19T07:50:07.215Z
2,2019-02-19T01:04:34.000Z,Registered,2019-02-19T01:04:34.000Z
2,2019-02-19T01:04:34.000Z,Registered,2019-02-19T10:49:18.451Z
2,2019-02-19T01:04:34.000Z,Registered,2019-02-19T15:55:46.871Z
1,2019-02-19T01:04:34.000Z,TF,2019-02-20T01:02:43.255Z
1,2019-02-19T01:04:34.000Z,TF,2019-02-19T01:04:34.000Z
2,2019-02-20T00:03:21.000Z,Registered,2019-02-20T06:51:07.113Z
1,2019-02-20T06:01:54.000Z,TF,2019-02-20T06:01:54.000Z
2,2019-02-20T07:02:21.000Z,Registered,2019-02-20T07:02:21.000Z
2,2019-02-20T07:02:21.000Z,Registered,2019-02-20T15:01:10.979Z
1,2019-02-20T07:02:21.000Z,TF,2019-02-20T19:00:39.310Z
1,2019-02-20T07:02:21.000Z,TF,2019-02-20T10:54:06.711Z
1,2019-02-20T07:02:21.000Z,TF,2019-02-21T00:49:58.632Z
2,2019-02-20T07:02:21.000Z,Registered,2019-02-21T06:53:48.360Z
2,2019-02-21T02:54:16.000Z,Registered,2019-02-21T12:47:48.415Z
1,2019-02-21T02:54:16.000Z,TF,2019-02-21T09:51:48.896Z
1,2019-02-21T02:54:16.000Z,TF,2019-02-21T02:54:16.000Z
2,2019-02-21T02:54:16.000Z,Registered,2019-02-21T02:54:16.000Z
1,2019-02-21T02:54:16.000Z,TF,2019-02-21T20:46:11.709Z
2,2019-02-21T02:54:16.000Z,Registered,2019-02-22T04:49:24.267Z
2,2019-02-21T02:54:16.000Z,Registered,2019-02-21T17:45:59.391Z
1,2019-02-21T23:33:00.000Z,TF,2019-02-22T22:45:47.785Z
2,2019-02-21T23:33:00.000Z,Registered,2019-02-21T23:33:00.000Z
1,2019-02-21T23:33:00.000Z,TF,2019-02-21T23:33:00.000Z
